x	y	y_inv	frequency	y_fwd(real)	y_fwd(imaginary)
0.47	0.913603	1.08962	4.59082	5.10515	2.06835
0.48	1.0661	1.06014	4.69062	-14.7429	-39.4365
0.49	1.11003	1.00209	4.79042	-2.4609	31.5275
0.5	0.918228	0.943755	4.89022	-21.9755	5.88401
0.51	0.943062	0.916755	4.99002	48.6157	-0.828472
0.52	0.94165	0.93671	5.08982	-28.3427	10.5194
0.53	0.864585	0.992052	5.18962	9.15197	-48.3337
0.54	1.11642	1.04961	5.28942	4.40159	48.1221
0.55	1.07604	1.0747	5.38922	-52.6938	-17.9477
0.56	1.1112	1.05322	5.48902	65.3566	4.75864
0.57	1.00362	1.00065	5.58882	-25.3916	40.1
0.58	0.869304	0.95157	5.68862	0.133323	-72.9749
0.59	1.01525	0.936232	5.78842	24.7967	46.8829
0.6	0.877872	0.960491	5.88822	-69.0384	3.64712
0.61	0.95941	1.00307	5.98802	71.917	-24.4318
0.62	1.15372	1.03205	6.08782	-10.4013	48.918
0.63	1.0576	1.02857	6.18762	-35.8749	-76.8671
0.64	1.00447	1.00033	6.28743	46.8142	33.792
0.65	0.837969	0.9751	6.38723	-57.5874	39.3768
0.66	0.948124	0.978988	6.48703	44.1869	-49.9519
0.67	1.1186	1.0159	6.58683	20.5929	51.1718
0.68	1.15264	1.06364	6.68663	-55.1218	-46.4687
0.69	0.996277	1.0898	6.78643	46.8862	-7.40492
0.7	1.0865	1.07562	6.88623	-36.7586	46.6406
0.71	0.920901	1.0299	6.98603	7.58839	-39.2123
0.72	1.13916	0.982372	7.08583	41.9849	30.2428
0.73	0.908126	0.961629	7.18563	-48.7888	-10.0632
0.74	0.992504	0.974199	7.28543	19.3373	-26.1396
0.75	0.913938	1.00076	7.38523	-6.68825	46.1766
0.76	1.03814	1.01218	7.48503	-10.0949	-12.5323
0.77	1.12634	0.992943	7.58483	37.1322	-7.47678
0.78	0.907695	0.953818	7.68463	-20.7071	5.0901
0.79	0.785919	0.923735	7.78443	-17.814	-19.4173
0.8	0.970205	0.927085	7.88423	12.2365	22.4953
0.81	1.04843	0.963962	7.98403	-6.38971	12.5851
0.82	0.976545	1.00886	8.08383	13.9264	-16.2052
0.83	0.989274	1.02926	8.18363	2.36655	8.23124
0.84	1.12435	1.01013	8.28343	-25.3396	3.59746
0.85	0.925094	0.96551	8.38323	1.40056	0.736708
0.86	0.742404	0.928323	8.48303	10.9974	21.2012
0.87	1.04809	0.925832	8.58283	-7.44628	-15.0025
0.88	1.06878	0.959584	8.68263	18.2492	-13.8667
0.89	0.895847	1.00504	8.78244	-20.6784	15.6545
0.9	1.12165	1.03099	8.88224	-9.61161	-10.4941
0.91	0.914741	1.02369	8.98204	24.9728	22.2491
0.92	1.02058	0.996849	9.08184	-11.2548	-4.99293
0.93	0.965223	0.979929	9.18164	13.3881	-27.6257
0.94	1.00727	0.993847	9.28144	-6.97986	14.0184
0.95	1.09666	1.03337	9.38124	-17.6201	-5.06532
0.96	1.06601	1.07015	9.48104	27.5921	12.6175
0.97	0.998836	1.0745	9.58084	-4.81288	3.47922
0.98	1.09421	1.0389	9.68064	3.45518	-27.1003
0.99	0.949176	0.985178	9.78044	-3.01028	8.69379
1	0.90234	0.94917	9.88024	-14.9286	0.0347341
1.01	1.01372	0.954675	9.98004	16.2988	6.78774
1.02	1.04842	0.9965	10.0798	-3.62436	3.36333
1.03	1.09027	1.04559	10.1796	4.43595	-18.1788
1.04	0.891446	1.07198	10.2794	-4.27909	7.06923
1.05	1.14785	1.06735	10.3792	-10.0053	-2.98447
1.06	1.02997	1.04951	10.479	13.6451	14.4048
1.07	1.07138	1.04522	10.5788	-6.77421	-5.75079
1.08	1.03777	1.06527	10.6786	13.0854	-17.6992
1.09	1.23007	1.09234	10.7784	-12.2807	15.5794
1.1	0.97864	1.09245	10.8782	-11.6085	-7.74807
1.11	1.00323	1.0422	10.978	22.5968	11.9765
1.12	0.955738	0.950873	11.0778	-8.57529	3.45787
1.13	0.882088	0.859503	11.1776	13.894	-24.1147
1.14	0.823165	0.815602	11.2774	-4.08429	21.4274
1.15	0.912496	0.841293	11.3772	-17.4255	-14.9566
1.16	0.895222	0.917993	11.477	23.6614	9.66805
1.17	0.947262	0.999232	11.5768	-12.4707	18.8409
1.18	0.999463	1.04256	11.6766	12.7786	-31.9092
1.19	1.00317	1.03745	11.7764	2.8858	19.6935
1.2	1.16939	1.00934	11.8762	-32.7215	-3.44415
1.21	0.964211	0.997478	11.976	26.9151	-2.25194
1.22	1.03484	1.02394	12.0758	-6.62482	21.7388
1.23	0.972016	1.07679	12.1756	-1.81212	-30.4416
1.24	1.13532	1.11952	12.2754	15.37	9.23376
1.25	1.15894	1.11866	12.3752	-26.4584	7.29037
1.26	1.10542	1.06861	12.475	16.145	-6.36205
1.27	0.921811	0.995245	12.5749	5.22459	19.5871
1.28	0.986304	0.936706	12.6747	-12.206	-16.8041
1.29	0.955435	0.916854	12.7745	14.102	2.58734
1.3	0.853509	0.931433	12.8743	-13.5817	8.07842
1.31	0.977116	0.956267	12.9741	5.2906	-9.46675
1.32	0.891894	0.969371	13.0739	10.152	9.00218
1.33	1.11365	0.968561	13.1737	-2.11979	-2.71231
1.34	0.931822	0.97076	13.2735	5.96745	-7.7573
1.35	0.971089	0.994484	13.3733	-9.24702	6.31507
1.36	1.03689	1.04068	13.4731	0.0111856	2.94924
1.37	1.04231	1.08821	13.5729	10.5485	-1.2573
1.38	1.19668	1.10824	13.6727	2.19455	-1.88155
1.39	1.06095	1.0864	13.7725	-6.34453	-4.99726
1.4	0.967029	1.035	13.8723	-5.47606	-1.89199
1.41	1.05934	0.985353	13.9721	3.63745	3.9563
1.42	0.978844	0.965675	14.0719	0.0816227	-1.62129
1.43	0.911257	0.981355	14.1717	1.15371	-4.27882
1.44	1.11844	1.01239	14.2715	-2.14717	3.02965
1.45	0.910899	1.02935	14.3713	-8.28139	1.1559
1.46	0.981675	1.01517	14.4711	3.93978	7.95588
1.47	1.15803	0.976131	14.5709	1.30218	-1.65093
1.48	0.827104	0.934728	14.6707	9.15016	-9.4079
1.49	0.910229	0.911573	14.7705	1.73107	6.02747
1.5	0.906045	0.911402	14.8703	-11.3574	-4.56885
1.51	0.995753	0.923848	14.9701	5.42717	-1.43908
1.52	0.841723	0.936539	15.0699	0.735574	6.59886
1.53	0.919462	0.947706	15.1697	0.828977	-13.2551
1.54	1.08405	0.966478	15.2695	2.89329	2.25707
1.55	0.966624	1.00042	15.3693	-11.0891	-3.14579
1.56	1.02466	1.04201	15.4691	6.47189	-2.40077
1.57	1.1244	1.06785	15.5689	0.259707	13.4677
1.58	0.897939	1.05422	15.6687	-2.51923	-8.78864
1.59	1.11251	0.998049	15.7685	5.56529	1.73995
1.6	0.890312	0.925652	15.8683	-11.6492	7.1644
1.61	0.957886	0.879586	15.9681	4.03099	-2.78587
1.62	0.830397	0.890683	16.0679	4.3002	6.87236
1.63	0.974346	0.95521	16.1677	-0.954198	-6.55541
1.64	0.96488	1.03503	16.2675	1.70362	-0.535936
1.65	1.13321	1.08225	16.3673	-7.05196	1.94014
1.66	1.11869	1.07146	16.4671	0.572029	-2.2778
1.67	0.966205	1.01611	16.5669	5.9051	7.3542
1.68	0.919612	0.957214	16.6667	-1.63472	-2.30531
1.69	0.931844	0.932985	16.7665	-0.207898	-1.87222
1.7	1.12021	0.952285	16.8663	-3.47947	2.57014
1.71	0.886467	0.991401	16.9661	0.0101037	-2.67554
1.72	0.93921	1.01539	17.0659	0.482479	3.56811
1.73	0.995502	1.00625	17.1657	0.355923	-6.56475
1.74	1.01347	0.975543	17.2655	4.07394	0.578193
1.75	1.06007	0.952126	17.3653	-6.19841	0.83791
1.76	0.928729	0.956233	17.4651	1.82761	-1.04608
1.77	0.94424	0.981899	17.5649	-1.60568	6.73059
1.78	0.980534	1.00255	17.6647	1.26692	-3.69919
1.79	0.933603	0.994818	17.7645	7.33843	1.84439
1.8	0.931845	0.959836	17.8643	-4.98608	0.335409
1.81	1.0869	0.923143	17.9641	-1.41115	-0.614599
1.82	0.929249	0.912469	18.0639	4.59076	7.87529
1.83	0.928941	0.932631	18.1637	-3.8187	-1.90436
1.84	0.86083	0.960746	18.2635	7.44711	-2.1951
1.85	0.91047	0.96844	18.3633	-0.730157	3.37315
1.86	0.855713	0.953153	18.4631	-1.18368	-4.44849
1.87	1.20285	0.949204	18.5629	5.80069	6.5077
1.88	1.06491	1.00283	18.6627	-2.84497	-0.195873
1.89	1.04608	1.12607	18.7625	-0.0558372	-5.26324
1.9	1.1906	1.26773	18.8623	0.193038	4.41557
1.91	1.33169	1.33476	18.9621	-7.6894	-4.05951
1.92	1.11448	1.26176	19.0619	8.68418	-0.163395
1.93	1.15376	1.08525	19.1617	-2.24715	2.8881
1.94	1.18342	0.963465	19.2615	-0.374719	-3.64038
1.95	1.27569	1.11016	19.3613	1.44537	5.2874
1.96	1.42228	1.66769	19.4611	-3.00614	0.831629
1.97	2.32414	2.59334	19.5609	6.84565	-2.32908
1.98	3.597	3.63648	19.6607	-2.20945	1.86126
1.99	4.79258	4.43535	19.7605	-0.383109	-2.77238
2	4.85382	4.68837	19.8603	1.70519	-1.55217
2.01	4.06378	4.30505	19.9601	-0.142597	0.376929
2.02	3.47502	3.44915	20.0599	-0.366723	-0.660173
2.03	2.31484	2.44936	20.1597	3.57191	0.586516
2.04	1.56326	1.63167	20.2595	-4.63823	-0.137476
2.05	1.31945	1.17098	20.3593	-0.536919	-1.95159
2.06	1.1349	1.04204	20.4591	-3.0871	0.412083
2.07	1.17999	1.0842	20.5589	-0.499941	-0.467853
2.08	0.995468	1.12548	20.6587	-2.25009	-2.04879
2.09	0.922415	1.08306	20.7585	2.7447	-2.63894
2.1	0.980262	0.984226	20.8583	2.3838	-1.3555
2.11	1.00803	0.910903	20.9581	3.04567	0.875497
2.12	0.992047	0.919955	21.0579	-0.473961	-0.377621
2.13	1.08616	0.998984	21.1577	0.163051	5.25323
2.14	0.986944	1.08299	21.2575	-0.410401	-4.63949
2.15	0.974171	1.11013	21.3573	2.06287	-2.61022
2.16	1.11907	1.06919	21.4571	-0.604246	-0.788533
2.17	1.06607	1.00342	21.5569	-1.04302	-0.913401
2.18	0.949801	0.971837	21.6567	0.946014	3.24376
2.19	0.965768	1.00134	21.7565	-2.22344	0.373295
2.2	1.20945	1.06707	21.8563	1.9305	0.265347
2.21	1.06531	1.11398	21.9561	0.593081	-1.26193
2.22	1.00768	1.1004	22.0559	0.688241	-0.388935
2.23	1.06334	1.0291	22.1557	3.32662	4.61713
2.24	0.801837	0.943284	22.2555	-2.24716	-2.31532
2.25	1.09246	0.892939	22.3553	3.25046	1.95195
2.26	0.891674	0.898929	22.4551	-1.84769	3.9144
2.27	1.03135	0.941825	22.5549	0.592123	-3.21399
2.28	0.815058	0.981596	22.6547	5.39318	-0.151474
2.29	0.95462	0.990378	22.7545	3.99147	-0.666125
2.3	0.973027	0.971963	22.8543	2.51629	-6.01096
2.31	0.963363	0.954034	22.9541	1.42223	3.13809
2.32	1.1131	0.961502	23.0539	-3.09918	-1.62041
2.33	1.02147	0.99381	23.1537	-1.7223	1.43315
2.34	0.910956	1.02472	23.2535	0.00210654	-3.80676
2.35	0.933717	1.02431	23.3533	1.08032	-1.78428
2.36	0.952165	0.985024	23.4531	0.210198	-1.41614
2.37	1.09462	0.930386	23.5529	-4.69394	0.807577
2.38	0.881027	0.89889	23.6527	2.62067	2.88162
2.39	0.973447	0.915069	23.7525	-1.24246	-2.20145
2.4	0.860429	0.969783	23.8523	-0.53605	-3.21286
2.41	1.00267	1.02498	23.9521	-0.901574	-1.95485
2.42	1.08951	1.03994	24.0519	0.863206	-1.68221
2.43	0.947254	1.00016	24.1517	3.75939	4.27618
2.44	0.958202	0.928389	24.2515	0.680381	-0.78519
2.45	0.976902	0.870269	24.3513	-1.59782	-5.06945
2.46	0.774499	0.864769	24.4511	-1.66905	-1.51667
2.47	0.930456	0.919635	24.5509	-3.58452	-0.288577
2.48	0.924868	1.0075	24.6507	1.05227	-1.7485
2.49	1.19176	1.08387	24.7505	-2.17985	1.60621
2.5	1.04592	1.11412	24.8503	-0.574443	-1.2121
2.51	1.17449	1.09255	24.9501	1.45024	-2.48778
2.52	0.956795	1.04328	25.0499	-3.26237	-2.24516
2.53	1.06013	1.00501	25.1497	1.92134	-0.881953
2.54	1.01689	1.01045	25.2495	0.086714	2.96768
2.55	1.07748	1.07237	25.3493	0.651177	-4.79426
2.56	1.06358	1.182	25.4491	-0.311485	0.373576
2.57	1.41138	1.31842	25.5489	0.0300086	-3.34651
2.58	1.4639	1.46214	25.6487	-0.717934	-1.99836
2.59	1.68694	1.60577	25.7485	0.111618	1.85098
2.6	1.57912	1.75675	25.8483	3.1978	-3.44265
2.61	2.12033	1.93084	25.9481	-0.0464321	1.32891
2.62	1.94456	2.13895	26.0479	-1.31207	-4.56223
2.63	2.50091	2.37334	26.1477	2.39617	4.73663
2.64	2.52458	2.60107	26.2475	-2.35711	0.404952
2.65	2.86634	2.7707	26.3473	0.694594	-1.82195
2.66	2.80401	2.83211	26.4471	-2.8647	3.14875
2.67	2.69657	2.76097	26.5469	-3.29078	-1.06677
2.68	2.66611	2.57426	26.6467	0.81327	-2.44189
2.69	2.21156	2.32592	26.7465	-1.64046	0.861614
2.7	2.17512	2.08236	26.8463	1.83796	-4.80624
2.71	1.84375	1.89023	26.9461	-0.150248	0.0418665
2.72	1.76528	1.75541	27.0459	-7.01766	-4.41128
2.73	1.69454	1.64628	27.1457	-1.46423	-0.579199
2.74	1.50413	1.51968	27.2455	0.116229	0.733147
2.75	1.28578	1.35306	27.3453	0.761316	-2.17671
2.76	1.20618	1.16171	27.4451	2.7914	1.37339
2.77	0.967535	0.990121	27.5449	-4.49883	-0.462581
2.78	0.867837	0.883272	27.6447	1.81665	0.0428911
2.79	0.968169	0.857775	27.7445	-0.632744	2.92972
2.8	0.88875	0.892032	27.8443	-1.5026	-3.55205
2.81	0.771247	0.941389	27.9441	2.77892	-2.15744
2.82	1.03678	0.966862	28.0439	-3.03594	-0.822874
2.83	1.00693	0.957285	28.1437	-3.24093	-3.91709
2.84	0.926808	0.930494	28.2435	-0.452629	3.58292
2.85	0.927053	0.914754	28.3433	-2.04718	-1.38418
2.86	0.89752	0.925574	28.4431	0.398585	4.8655
2.87	0.905332	0.955203	28.5429	-2.4783	-2.55913
2.88	1.05242	0.98145	28.6427	0.698219	7.90997
2.89	0.948811	0.987491	28.7425	-0.761129	3.1934
2.9	1.01858	0.976281	28.8423	0.971884	-2.3436
2.91	0.960205	0.968064	28.9421	5.93856	-0.894195
2.92	0.939562	0.983003	29.0419	0.633786	0.387849
2.93	1.00393	1.02281	29.1417	1.92752	0.741454
2.94	1.15734	1.06626	29.2415	0.076912	3.57522
2.95	1.07224	1.08295	29.3413	-0.872849	-1.16342
2.96	1.00134	1.05583	29.4411	1.39228	1.44368
2.97	0.964278	0.995703	29.5409	1.63141	-0.953274
2.98	0.996032	0.93667	29.6407	1.37431	3.26659
2.99	0.934483	0.914658	29.7405	-0.920927	1.31483
3	0.935962	0.943643	29.8403	-2.49376	-1.3664
3.01	0.925965	1.00583	29.9401	3.3484	0.0848975
3.02	1.17258	1.06258	30.0399	-1.10246	0.579228
3.03	1.00279	1.07879	30.1397	1.0977	-1.53
3.04	1.09615	1.04468	30.2395	1.92646	0.0278268
3.05	0.886214	0.981149	30.3393	-2.2987	-2.55617
3.06	1.02947	0.926041	30.4391	-0.256783	1.42336
3.07	0.908041	0.910909	30.5389	-1.28574	-0.730959
3.08	0.884267	0.943052	30.6387	1.50586	0.903685
3.09	1.04402	1.00322	30.7385	0.401517	1.08749
3.1	1.03781	1.0589	30.8383	0.125159	-2.15556
3.11	1.08544	1.08392	30.9381	-0.0158142	3.52013
3.12	1.0428	1.07226	31.0379	-3.22939	0.133358
3.13	1.08223	1.03909	31.1377	0.587798	-0.197062
3.14	1.05585	1.00972	31.2375	2.78567	1.90987
3.15	0.957311	1.00419	31.3373	0.766265	-0.43639
3.16	0.986276	1.02625	31.4371	4.19703	5.46251
3.17	1.04234	1.06224	31.5369	-0.0021706	2.66144
3.18	1.17783	1.08961	31.6367	2.68604	-4.25498
3.19	1.09856	1.08976	31.7365	-1.3273	2.49044
3.2	0.941947	1.05848	31.8363	-1.92921	-2.1547
3.21	1.1081	1.00859	31.9361	1.48303	4.49034
3.22	0.98405	0.963508	32.0359	-2.47227	3.51472
3.23	0.875393	0.945097	32.1357	-1.21209	-1.23045
3.24	0.97388	0.961851	32.2355	-2.43858	0.740312
3.25	0.913879	1.00388	32.3353	2.05444	-0.304637
3.26	1.24193	1.04764	32.4351	0.100155	-0.992868
3.27	0.983219	1.06829	32.5349	-2.73166	2.52884
3.28	1.06245	1.05318	32.6347	-1.51574	0.545661
3.29	0.957346	1.00891	32.7345	1.12253	2.06907
3.3	0.993384	0.957829	32.8343	-1.88354	-6.43681
3.31	0.882254	0.925706	32.9341	2.02726	-1.45383
3.32	0.987667	0.927522	33.0339	-4.46882	-3.41357
3.33	0.921204	0.959527	33.1337	1.36342	-1.01632
3.34	1.02786	1.00199	33.2335	-2.20387	2.0089
3.35	1.16197	1.03083	33.3333	0.869164	-1.91132
3.36	0.803461	1.03131	33.4331	4.23335	0.821304
3.37	1.01797	1.00593	33.5329	-1.65868	1.69991
3.38	1.02632	0.972611	33.6327	-1.53556	-3.00029
3.39	0.980183	0.954417	33.7325	1.3221	5.72977
3.4	1.13593	0.966963	33.8323	-1.47441	-2.4182
3.41	0.811973	1.01008	33.9321	-3.49796	-1.05025
3.42	1.0226	1.06768	34.0319	-2.81445	1.57752
3.43	1.1372	1.11546	34.1317	-3.71899	-4.44996
3.44	1.15042	1.13229	34.2315	1.56005	2.28935
3.45	1.22729	1.10991	34.3313	-0.700104	-1.21108
3.46	0.997133	1.05661	34.4311	-2.51906	1.16814
3.47	0.989885	0.993346	34.5309	-3.10916	-1.83159
3.48	0.871188	0.944159	34.6307	-1.40004	-2.00675
3.49	0.953932	0.925268	34.7305	-1.76804	2.47064
3.5	0.922896	0.93809	34.8303	5.19397	1.25456
3.51	1.05951	0.969659	34.9301	-2.23445	-2.08188
3.52	0.963939	1.00033	35.0299	1.91828	-1.15592
3.53	0.996631	1.01467	35.1297	0.913585	1.57719
3.54	1.01925	1.00948	35.2295	0.931176	-0.115482
3.55	0.959299	0.994343	35.3293	1.59996	2.64178
3.56	0.981723	0.984602	35.4291	1.84908	-1.7031
3.57	1.08381	0.991206	35.5289	-1.9418	2.1435
3.58	0.887454	1.01394	35.6287	3.05573	-1.70349
3.59	1.14811	1.04211	35.7285	5.18798	0.774871
3.6	1.01954	1.06184	35.8283	-3.25209	1.8781
3.61	1.05157	1.06466	35.9281	5.07064	-0.0674219
3.62	1.08618	1.05192	36.0279	0.370881	-0.823533
3.63	1.02645	1.03252	36.1277	-0.768188	0.350219
3.64	0.942503	1.01669	36.2275	5.17577	-1.57437
3.65	1.02511	1.0105	36.3273	-0.875931	-1.3748
3.66	1.17107	1.01445	36.4271	1.0235	-3.77257
3.67	0.876674	1.02555	36.5269	-0.935942	-0.037226
3.68	1.08864	1.03984	36.6267	0.622881	1.58548
3.69	1.07146	1.05268	36.7265	-5.06494	-0.444512
3.7	0.942592	1.05791	36.8263	-3.07397	0.53572
3.71	1.13108	1.04878	36.9261	2.36883	-1.15582
3.72	1.0386	1.02277	37.0259	-3.21521	1.74242
3.73	1.00368	0.987935	37.1257	1.60965	0.557557
3.74	0.975597	0.964768	37.2255	0.244257	0.35078
3.75	0.955306	0.978989	37.3253	-1.88458	1.85508
3.76	0.924463	1.04691	37.4251	-3.12769	-1.09329
3.77	1.27256	1.16212	37.525	-4.49404	-0.808024
3.78	1.30692	1.29393	37.6248	-0.439175	-1.45388
3.79	1.38329	1.40174	37.7246	1.25814	6.26008
3.8	1.53491	1.45831	37.8244	1.39077	-3.42101
3.81	1.38604	1.46701	37.9242	2.59727	-0.560104
3.82	1.4084	1.4605	38.024	-1.94601	0.0247386
3.83	1.51408	1.47998	38.1238	2.75265	-6.4525
3.84	1.54513	1.54789	38.2236	1.06332	4.52536
3.85	1.74826	1.65257	38.3234	-0.716138	-3.17421
3.86	1.72906	1.75593	38.4232	4.80938	0.450065
3.87	1.68524	1.81904	38.523	-3.81687	0.519267
3.88	1.97233	1.82805	38.6228	3.2869	-1.92272
3.89	1.76518	1.80192	38.7226	-5.20285	2.94531
3.9	1.70283	1.77694	38.8224	-4.52707	-3.54753
3.91	1.83724	1.77952	38.9222	-0.644125	1.99206
3.92	1.78047	1.80761	39.022	-4.51065	3.50459
3.93	1.90962	1.83421	39.1218	-2.41601	-1.7224
3.94	1.82496	1.82996	39.2216	1.33056	3.03575
3.95	1.82599	1.78709	39.3214	2.447	-1.0111
3.96	1.4429	1.72617	39.4212	-1.68698	-2.10294
3.97	1.86108	1.68013	39.521	-1.15399	-0.236213
3.98	1.77005	1.66789	39.6208	-1.30922	-2.22603
3.99	1.63728	1.678	39.7206	1.80146	0.215314
4	1.65059	1.67554	39.8204	-1.483	-3.63339
4.01	1.59689	1.62778	39.9202	3.12501	-4.25925
4.02	1.53886	1.52945	40.02	1.40586	2.14616
4.03	1.31996	1.40853	40.1198	-1.5901	1.77076
4.04	1.39281	1.30772	40.2196	1.65706	1.20738
4.05	1.3368	1.25516	40.3194	-2.09325	-0.266259
4.06	1.24489	1.24606	40.4192	2.18849	-1.32022
4.07	1.1624	1.24872	40.519	-0.575961	2.8338
4.08	1.19842	1.22979	40.6188	-1.32018	0.729412
4.09	1.16018	1.17954	40.7186	4.27955	-4.01858
4.1	1.14898	1.11799	40.8184	-0.566809	3.99458
4.11	1.20959	1.07761	40.9182	-2.0064	-7.29347
4.12	1.02519	1.07636	41.018	3.30838	4.57835
4.13	1.08624	1.10194	41.1178	0.125486	2.05001
4.14	0.92976	1.1196	41.2176	1.11951	0.153068
4.15	1.27847	1.09784	41.3174	1.23111	0.471835
4.16	1.08288	1.03281	41.4172	-2.63883	-0.0257211
4.17	0.870712	0.952964	41.517	-0.75179	1.68459
4.18	0.874933	0.900547	41.6168	2.65987	-0.874502
4.19	0.976196	0.903017	41.7166	-3.16442	-3.75398
4.2	0.893033	0.954854	41.8164	2.05552	7.75846
4.21	1.07365	1.02193	41.9162	0.665575	0.0620673
4.22	1.04138	1.06437	42.016	-0.211232	0.189918
4.23	0.987144	1.06127	42.1158	-8.42565	1.534
4.24	1.14424	1.0207	42.2156	0.203358	-1.49821
4.25	0.904243	0.970286	42.3154	0.967223	2.66751
4.26	0.92603	0.937043	42.4152	-1.3481	1.28129
4.27	1.05234	0.931579	42.515	2.45983	-1.31139
4.28	0.772028	0.946106	42.6148	-6.95082	1.43292
4.29	1.05968	0.964635	42.7146	2.00815	-0.748756
4.3	0.90572	0.97559	42.8144	0.940231	2.84774
4.31	1.0277	0.977519	42.9142	-4.24317	1.07176
4.32	1.06772	0.975901	43.014	-1.36397	2.95252
4.33	0.860357	0.976291	43.1138	-2.22461	2.45322
4.34	0.978246	0.98054	43.2136	0.547966	-2.95261
4.35	0.993282	0.988301	43.3134	-1.40204	-0.290625
4.36	1.08193	1.00037	43.4132	-1.42383	-1.09128
4.37	0.93495	1.01901	43.513	-1.40187	-3.97371
4.38	1.02086	1.0441	43.6128	0.556249	3.68991
4.39	1.12778	1.06921	43.7126	-0.70193	-0.771189
4.4	1.13464	1.08256	43.8124	1.1105	-1.2333
4.41	1.05638	1.07416	43.9122	4.49727	-4.40055
4.42	0.920126	1.04407	44.012	-2.51476	0.502481
4.43	1.02374	1.00465	44.1118	-2.8265	-0.903858
4.44	1.10147	0.973732	44.2116	2.7322	-0.981737
4.45	0.86802	0.962826	44.3114	-0.674213	-1.20685
4.46	1.06879	0.969462	44.4112	0.0533994	-1.88532
4.47	0.853867	0.979806	44.511	-0.372665	-1.1204
4.48	1.07672	0.980038	44.6108	5.57637	1.32872
4.49	0.892107	0.967657	44.7106	2.2526	-1.96922
4.5	0.959665	0.953581	44.8104	-2.56161	3.12654
4.51	0.976881	0.953085	44.9102	0.822866	-2.08215
4.52	0.974441	0.972662	45.01	4.25594	-0.582798
4.53	1.0461	1.00348	45.1098	-2.3418	2.90782
4.54	1.07675	1.02707	45.2096	4.5516	-2.82882
4.55	0.843928	1.02922	45.3094	-1.42718	2.08867
4.56	1.0316	1.01096	45.4092	0.210427	-0.0701111
4.57	1.07943	0.987945	45.509	-1.05614	-2.27478
4.58	0.98394	0.978335	45.6088	-1.26943	-1.24522
4.59	1.06274	0.988762	45.7086	-0.936279	-3.11987
4.6	0.889441	1.0096	45.8084	-0.384875	0.937331
4.61	0.96166	1.02348	45.9082	-3.48057	-0.817731
4.62	1.11394	1.02035	46.008	3.17209	3.50177
4.63	1.01548	1.00685	46.1078	-0.549863	5.73678
4.64	1.00767	1.00212	46.2076	1.12873	-3.57639
4.65	0.981548	1.0227	46.3074	0.922056	-2.07975
