x	y	y_inv	frequency	y_fft(real)	y_fft(imaginary)
0.87	1.04809	0.923519	8.6	-12.0847	-3.19244
0.88	1.06878	0.956155	8.7	8.93932	-23.8844
0.89	0.895847	1.00334	8.8	-7.50131	21.7321
0.9	1.12165	1.03243	8.9	-19.4102	-1.13376
0.91	0.914741	1.02706	9	31.656	7.65908
0.92	1.02058	0.99935	9.1	-7.35857	8.36828
0.93	0.965223	0.979476	9.2	-3.87717	-30.6846
0.94	1.00727	0.990822	9.3	2.78896	10.8389
0.95	1.09666	1.03028	9.4	-22.0416	7.54031
0.96	1.06601	1.06958	9.5	27.1401	-3.14394
0.97	0.998836	1.0769	9.6	3.90281	9.48953
0.98	1.09421	1.04228	9.7	-10.9786	-24.2249
0.99	0.949176	0.98673	9.8	2.52169	3.8149
1	0.90234	0.947609	9.9	-15.0122	9.1524
1.01	1.01372	0.951302	10	14.9042	-2.60957
1.02	1.04842	0.994119	10.1	2.26729	7.59319
1.03	1.09027	1.04618	10.2	-6.43336	-17.4459
1.04	0.891446	1.07504	10.3	0.689745	4.69701
1.05	1.14785	1.07034	10.4	-13.3358	3.62026
1.06	1.02997	1.04995	10.5	18.4995	4.73736
1.07	1.07138	1.04275	10.6	-6.10795	4.05267
1.08	1.03777	1.06194	10.7	-1.24675	-24.6237
1.09	1.23007	1.09092	10.8	0.884545	15.4294
1.1	0.97864	1.09412	10.9	-18.9657	4.21951
1.11	1.00323	1.04556	11	21.8605	-4.15924
1.12	0.955738	0.95314	11.1	-0.691747	12.2956
1.13	0.882088	0.8588	11.2	-5.88859	-28.7797
1.14	0.823165	0.812518	11.3	12.9803	13.74
1.15	0.912496	0.83839	11.4	-25.7774	2.35165
1.16	0.895222	0.917679	11.5	19.0923	-10.8713
1.17	0.947262	1.00176	11.6	7.91299	25.9641
1.18	0.999463	1.04583	11.7	-11.607	-30.9454
1.19	1.00317	1.03875	11.8	18.1567	3.86116
1.2	1.16939	1.00759	11.9	-27.0796	22.6756
1.21	0.964211	0.99414	12	11.8645	-18.4535
1.22	1.03484	1.02178	12.1	15.4351	22.1503
1.23	0.972016	1.0776	12.2	-22.0991	-16.5558
1.24	1.13532	1.12262	12.3	15.7603	-11.1191
1.25	1.15894	1.12147	12.4	-13.687	23.7971
1.26	1.10542	1.06881	12.5	1.30225	-13.192
1.27	0.921811	0.992667	12.6	21.2286	9.48879
1.28	0.986304	0.933495	12.7	-18.2825	0.352348
1.29	0.955435	0.915672	12.8	9.44618	-10.2682
1.3	0.853509	0.933256	12.9	-2.00894	16.2052
1.31	0.977116	0.959577	13	-6.2856	-6.15995
1.32	0.891894	0.971422	13.1	13.064	-1.09297
1.33	1.11365	0.967657	13.2	-0.0171509	1.27593
1.34	0.931822	0.967655	13.3	-0.608908	-11.8569
1.35	0.971089	0.991757	13.4	-1.86324	8.52345
1.36	1.03689	1.04059	13.5	0.967352	5.72262
1.37	1.04231	1.09083	13.6	7.24937	-6.40029
1.38	1.19668	1.11139	13.7	4.63611	-4.59123
1.39	1.06095	1.08747	13.8	-4.78802	-0.615725
1.4	0.967029	1.03311	13.9	-6.55514	2.46553
1.41	1.05934	0.982074	14	4.2451	0.427266
1.42	0.978844	0.963726	14.1	0.169639	-0.485647
1.43	0.911257	0.982347	14.2	-2.55401	-5.16127
1.44	1.11844	1.01549	14.3	0.948578	0.332888
1.45	0.910899	1.03199	14.4	-6.36182	7.0625
1.46	0.981675	1.01517	14.5	7.29594	5.24113
1.47	1.15803	0.973484	14.6	1.52804	3.42692
1.48	0.827104	0.931642	14.7	-1.82475	-12.1389
1.49	0.910229	0.910605	14.8	8.5865	-1.85341
1.5	0.906045	0.913348	14.9	-8.48842	6.69237
1.51	0.995753	0.927091	15	-0.287639	-4.05245
1.52	0.841723	0.938389	15.1	8.33863	4.69896
1.53	0.919462	0.946634	15.2	-8.48669	-7.47371
1.54	1.08405	0.963379	15.3	3.79119	-4.91182
1.55	0.966624	0.997867	15.4	-9.57408	6.57229
1.56	1.02466	1.04212	15.5	-3.98273	-7.61313
1.57	1.1244	1.07052	15.6	11.3269	5.81475
1.58	0.897939	1.05724	15.7	-7.60171	-1.66868
1.59	1.11251	0.998919	15.8	2.63139	-7.77417
1.6	0.890312	0.923655	15.9	-0.464071	12.7092
1.61	0.957886	0.876382	16	-2.29449	-1.59013
1.62	0.830397	0.888928	16.1	9.1974	1.06291
1.63	0.974346	0.956354	16.2	-3.48994	-2.13079
1.64	0.96488	1.03811	16.3	0.53708	-4.21448
1.65	1.13321	1.08472	16.4	-1.99549	6.24233
1.66	1.11869	1.07127	16.5	-4.8656	0.305734
1.67	0.966205	1.01342	16.6	8.70138	-1.00038
1.68	0.919612	0.954258	16.7	0.070621	0.103059
1.69	0.931844	0.93221	16.8	-1.09748	-1.87865
1.7	1.12021	0.954328	16.9	1.09277	4.25105
1.71	0.886467	0.994564	17	-2.61905	-0.0308013
1.72	0.93921	1.01705	17.1	4.24579	2.94794
1.73	0.995502	1.00504	17.2	-5.1789	-1.57303
1.74	1.01347	0.972468	17.3	1.38911	-5.23213
1.75	1.06007	0.949736	17.4	-2.62075	4.73876
1.76	0.928729	0.956506	17.5	-2.90818	-1.94279
1.77	0.94424	0.984601	17.6	4.3155	5.50601
1.78	0.980534	1.00544	17.7	-3.4726	0.699596
1.79	0.933603	0.995503	17.8	4.1593	-6.50119
1.8	0.931845	0.957754	17.9	-1.19207	2.62487
1.81	1.0869	0.920023	18	-4.30107	1.95075
1.82	0.929249	0.910896	18.1	8.48978	-0.152081
1.83	0.928941	0.933903	18.2	-1.33675	5.59276
1.84	0.86083	0.963804	18.3	0.468191	-6.03754
1.85	0.91047	0.970748	18.4	4.14786	1.05181
1.86	0.855713	0.952803	18.5	-5.45289	0.243984
1.87	1.20285	0.946492	18.6	7.82455	-3.44549
1.88	1.06491	1.00001	18.7	2.99048	1.8485
1.89	1.04608	1.12547	18.8	-3.93661	-2.3601
1.9	1.1906	1.26984	18.9	5.58598	-0.638632
1.91	1.33169	1.33783	19	-5.72694	7.97753
1.92	1.11448	1.26325	19.1	1.05477	-6.34015
1.93	1.15376	1.08392	19.2	2.92381	1.91448
1.94	1.18342	0.960427	19.3	-4.2653	-0.64351
1.95	1.27569	1.10793	19.4	4.47947	-0.0933234
1.96	1.42228	1.66812	19.5	1.40276	5.68342
1.97	2.32414	2.59606	19.6	1.18967	-5.86038
1.98	3.597	3.63924	19.7	3.23599	1.54145
1.99	4.79258	4.43587	19.8	-0.552717	0.574383
2	4.85382	4.68622	19.9	-0.391551	-1.89215
2.01	4.06378	4.30203	20	0.916352	-0.333587
2.02	3.47502	3.44775	20.1	-0.343269	0.619867
2.03	2.31484	2.45074	20.2	2.83308	-4.91966
2.04	1.56326	1.63468	20.3	0.936475	2.21639
2.05	1.31945	1.17313	20.4	-0.614912	-0.819862
2.06	1.1349	1.04155	20.5	0.395945	2.79945
2.07	1.17999	1.08148	20.6	1.09878	1.40653
2.08	0.995468	1.12278	20.7	-1.11209	4.35284
2.09	0.922415	1.08262	20.8	-1.83825	0.216976
2.1	0.980262	0.986401	20.9	-2.03601	-0.718182
2.11	1.00803	0.913884	21	0.627348	-2.72882
2.12	0.992047	0.921275	21.1	-1.92604	-0.792977
2.13	1.08616	0.997554	21.2	6.52881	1.19341
2.14	0.986944	1.08	21.3	-1.11743	0.758923
2.15	0.974171	1.10805	21.4	-1.53412	-2.38108
2.16	1.11907	1.06975	21.5	-1.25493	-0.722166
2.17	1.06607	1.00614	21.6	-3.13053	0.421718
2.18	0.949801	0.974465	21.7	1.88091	-0.774553
2.19	0.965768	1.0017	21.8	0.0904362	3.00071
2.2	1.20945	1.06487	21.9	1.02928	0.044667
2.21	1.06531	1.11105	22	-1.01777	0.227008
2.22	1.00768	1.09916	22.1	-2.5818	0.665323
2.23	1.06334	1.03057	22.2	4.87145	-2.35185
2.24	0.801837	0.946248	22.3	-1.98951	2.32725
2.25	1.09246	0.894937	22.4	0.998303	-2.46267
2.26	0.891674	0.89831	22.5	5.60637	3.00466
2.27	1.03135	0.939107	22.6	-0.269316	3.11514
2.28	0.815058	0.979034	22.7	2.07844	-1.52895
2.29	0.95462	0.990089	22.8	3.71501	-2.84519
2.3	0.973027	0.974182	22.9	-4.4148	-4.51689
2.31	0.963363	0.956919	23	3.26014	-4.89186
2.32	1.1131	0.962665	23.1	-0.385819	-0.87792
2.33	1.02147	0.992293	23.2	3.66445	0.733414
2.34	0.910956	1.02178	23.3	-0.778776	-0.33088
2.35	0.933717	1.02238	23.4	-0.645224	-2.05555
2.36	0.952165	0.985703	23.5	-1.51624	-3.60805
2.37	1.09462	0.933098	23.6	-0.949161	3.54512
2.38	0.881027	0.901388	23.7	4.35865	-1.9713
2.39	0.973447	0.915287	23.8	1.66264	-0.0127252
2.4	0.860429	0.967545	23.9	-0.713736	-0.186715
2.41	1.00267	1.02215	24	-1.20155	1.20479
2.42	1.08951	1.03885	24.1	-3.51238	0.934914
2.43	0.947254	1.00171	24.2	4.07253	-3.17102
2.44	0.958202	0.931295	24.3	3.75811	-3.32142
2.45	0.976902	0.872119	24.4	-1.86737	-1.89927
2.46	0.774499	0.864035	24.5	-1.26235	-1.73489
2.47	0.930456	0.91693	24.6	0.117342	2.33597
2.48	0.924868	1.00507	24.7	-1.95083	-1.68459
2.49	1.19176	1.08372	24.8	1.85121	1.04445
2.5	1.04592	1.11638	24.9	1.20846	1.16717
2.51	1.17449	1.09534	25	-0.353525	-2.37505
2.52	0.956795	1.0443	25.1	-1.62702	3.07734
2.53	1.06013	1.00341	25.2	-2.30683	-0.610948
2.54	1.01689	1.00758	25.3	4.39274	-0.0549615
2.55	1.07748	1.07059	25.4	-2.49882	-0.807095
2.56	1.06358	1.18279	25.5	1.51627	-0.260215
2.57	1.41138	1.32112	25.6	-1.66022	-0.498203
2.58	1.4639	1.46451	25.7	-3.13524	0.762748
2.59	1.68694	1.60586	25.8	1.96194	1.4276
2.6	1.57912	1.75448	25.9	-3.37046	-2.51803
2.61	2.12033	1.9281	26	1.43872	-2.00372
2.62	1.94456	2.138	26.1	-6.4471	1.21428
2.63	2.50091	2.37497	26.2	1.0487	-3.99535
2.64	2.52458	2.60392	26.3	1.10648	-0.189155
2.65	2.86634	2.77241	26.4	-2.99106	-3.10716
2.66	2.80401	2.83127	26.5	2.63875	-1.35035
2.67	2.69657	2.75828	26.6	1.80525	2.0029
2.68	2.66611	2.57195	26.7	-1.27398	-1.00036
2.69	2.21156	2.3259	26.8	3.4543	1.07441
2.7	2.17512	2.08463	26.9	-2.78061	-2.02654
2.71	1.84375	1.89292	27	0.87763	-5.21826
2.72	1.76528	1.75628	27.1	-2.95951	3.58737
2.73	1.69454	1.64462	27.2	-2.11747	2.81108
2.74	1.50413	1.51687	27.3	0.300699	1.63775
2.75	1.28578	1.35142	27.4	-3.08299	1.81356
2.76	1.20618	1.1626	27.5	-1.11709	-4.0683
2.77	0.967535	0.992795	27.6	-0.871235	3.41911
2.78	0.867837	0.885518	27.7	-2.33036	-0.622674
2.79	0.968169	0.857736	27.8	3.38706	-1.14016
2.8	0.88875	0.889746	27.9	-0.432332	2.21448
2.81	0.771247	0.938751	28	-2.61039	-3.43637
2.82	1.03678	0.966054	28.1	-0.618534	-0.790976
2.83	1.00693	0.958972	28.2	-6.26151	3.17887
2.84	0.926808	0.933275	28.3	-0.464982	0.177033
2.85	0.927053	0.916326	28.4	-5.0474	3.38647
2.86	0.89752	0.924641	28.5	1.32125	-0.581698
2.87	0.905332	0.952541	28.6	-6.72011	4.82539
2.88	1.05242	0.979266	28.7	1.76918	0.923728
2.89	0.948811	0.987588	28.8	4.78275	2.27367
2.9	1.01858	0.978575	28.9	1.01307	4.8605
2.91	0.960205	0.970652	29	-1.83473	-1.40714
2.92	0.939562	0.983745	29.1	-1.25796	0.749968
2.93	1.00393	1.0211	29.2	-2.70054	-0.656685
2.94	1.15734	1.06351	29.3	1.92415	-1.39722
2.95	1.07224	1.08145	29.4	-0.86777	1.75696
2.96	1.00134	1.0568	29.5	0.868339	0.250198
2.97	0.964278	0.99835	29.6	-2.79711	0.319737
2.98	0.996032	0.938794	29.7	0.25021	-2.34315
2.99	0.934483	0.914503	29.8	1.71816	-2.03488
3	0.935962	0.941343	29.9	0.828868	3.26047
3.01	0.925965	1.00329	30	-0.686362	-1.9769
3.02	1.17258	1.06191	30.1	1.71359	0.361828
3.03	1.00279	1.08053	30.2	-0.412966	0.326269
3.04	1.09615	1.0474	30.3	0.0778059	-3.40689
3.05	0.886214	0.98259	30.4	-2.54534	1.10096
3.06	1.02947	0.925021	30.5	-0.119376	-0.561006
3.07	0.908041	0.908277	30.6	-1.0018	2.247
3.08	0.884267	0.940988	30.7	-1.02355	0.0245931
3.09	1.04402	1.00343	30.8	0.767718	-0.794555
3.1	1.03781	1.06121	30.9	-4.08939	0.913299
3.11	1.08544	1.08641	31	-0.208333	-2.20904
3.12	1.0428	1.07288	31.1	0.689828	2.55956
3.13	1.08223	1.03732	31.2	-0.87879	3.35072
3.14	1.05585	1.00704	31.3	-0.0117869	0.0601812
3.15	0.957311	1.00282	31.4	-3.21296	3.84172
3.16	0.986276	1.02731	31.5	0.000962706	-2.69031
3.17	1.04234	1.06486	31.6	4.64057	-1.8478
3.18	1.17783	1.09161	31.7	-4.25437	-2.27788
3.19	1.09856	1.0895	31.8	0.593187	-2.89086
3.2	0.941947	1.05617	31.9	-3.84013	2.30571
3.21	1.1081	1.00615	32	-1.83111	-3.00841
3.22	0.98405	0.962953	32.1	2.74122	-2.42269
3.23	0.875393	0.946882	32.2	-0.316919	-1.4342
3.24	0.97388	0.964495	32.3	2.29335	1.3776
3.25	0.913879	1.0052	32.4	0.450523	-1.7271
3.26	1.24193	1.04655	32.5	-2.73089	-1.88503
3.27	0.983219	1.0657	32.6	1.21514	-1.03519
3.28	1.06245	1.05123	32.7	1.51303	0.683764
3.29	0.957346	1.00922	32.8	5.7239	-5.06859
3.3	0.993384	0.960138	32.9	0.709185	1.35316
3.31	0.882254	0.928097	33	-0.470515	-4.49138
3.32	0.987667	0.928018	33.1	0.0347049	2.78427
3.33	0.921204	0.957721	33.2	-3.04988	-0.0382623
3.34	1.02786	0.999381	33.3	2.31211	1.03471
3.35	1.16197	1.02958	33.4	-0.153673	3.28131
3.36	0.803461	1.03244	33.5	-2.93667	-2.53543
3.37	1.01797	1.00851	33.6	1.11012	-2.59168
3.38	1.02632	0.9745	33.7	-4.12123	3.14947
3.39	0.980183	0.954054	33.8	2.05579	-4.6476
3.4	1.13593	0.964653	33.9	-1.27793	-3.2457
3.41	0.811973	1.00773	34	-1.69487	-0.753497
3.42	1.0226	1.06724	34.1	2.5501	-3.19949
3.43	1.1372	1.11728	34.2	-1.00829	4.44319
3.44	1.15042	1.13486	34.3	0.683769	-1.25088
3.45	1.22729	1.1111	34.4	-1.86333	-0.813367
3.46	0.997133	1.05544	34.5	0.998105	-1.8401
3.47	0.989885	0.990784	34.6	1.14355	0.787759
3.48	0.871188	0.942327	34.7	-1.86314	2.99876
3.49	0.953932	0.925679	34.8	3.37229	5.31211
3.5	0.922896	0.940399	34.9	0.694744	-2.86169
3.51	1.05951	0.971954	35	1.80937	2.58839
3.52	0.963939	1.00071	35.1	-1.02406	2.34017
3.53	0.996631	1.01283	35.2	0.746329	1.11724
3.54	1.01925	1.00694	35.3	-0.645672	2.65278
3.55	0.959299	0.993208	35.4	2.4536	-0.240932
3.56	0.981723	0.985806	35.5	-2.35039	0.0249944
3.57	1.08381	0.993749	35.6	4.0037	1.85674
3.58	0.887454	1.01571	35.7	1.22314	3.34758
3.59	1.14811	1.04165	35.8	-3.46625	-2.46199
3.6	1.01954	1.05953	35.9	3.81546	2.80679
3.61	1.05157	1.06242	36	0.0308444	-2.05105
3.62	1.08618	1.05159	36.1	-0.577774	-1.03038
3.63	1.02645	1.03437	36.2	3.88859	1.40338
3.64	0.942503	1.01919	36.3	-1.14162	-3.36478
3.65	1.02511	1.01158	36.4	1.46968	-2.14217
3.66	1.17107	1.01321	36.5	-3.0609	-0.720856
3.67	0.876674	1.02303	36.6	-2.40056	0.523834
3.68	1.08864	1.03812	36.7	-3.67415	-4.49175
3.69	1.07146	1.05318	36.8	-1.66413	-0.664963
3.7	0.942592	1.06022	36.9	2.21698	1.52962
3.71	1.13108	1.05098	37	-3.78497	-0.855572
3.72	1.0386	1.02304	37.1	1.05141	1.57798
3.73	1.00368	0.986063	37.2	-0.720198	-0.376214
3.74	0.975597	0.962301	37.3	-2.71409	-1.0627
3.75	0.955306	0.977968	37.4	-0.798357	-3.31984
3.76	0.924463	1.04818	37.5	-1.41879	-2.38492
3.77	1.27256	1.16462	37.6	1.71285	0.995953
3.78	1.30692	1.29559	37.7	-1.86365	5.59621
3.79	1.38329	1.40119	37.8	4.86586	-2.33619
3.8	1.53491	1.45601	37.9	1.89375	1.0295
3.81	1.38604	1.46485	38	-1.066	-1.82682
3.82	1.4084	1.46028	38.1	5.63	-1.91756
3.83	1.51408	1.48187	38.2	-3.64468	4.1477
3.84	1.54513	1.55032	38.3	1.36154	-3.10325
3.85	1.74826	1.65354	38.4	1.54935	3.17054
3.86	1.72906	1.75463	38.5	-4.41903	-3.01255
3.87	1.68524	1.81656	38.6	2.2295	0.256282
3.88	1.97233	1.82644	38.7	-7.11308	-2.06473
3.89	1.76518	1.80251	38.8	-0.804699	-4.81729
3.9	1.70283	1.77923	38.9	-1.92056	2.45262
3.91	1.83724	1.78162	39	-4.51654	-0.0267631
3.92	1.78047	1.80778	39.1	1.26616	-1.8947
3.93	1.90962	1.83231	39.2	0.774805	3.74824
3.94	1.82496	1.82756	39.3	3.3331	-0.19401
3.95	1.82599	1.78618	39.4	0.0123958	-2.95305
3.96	1.4429	1.72749	39.5	-0.21858	-0.517442
3.97	1.86108	1.68259	39.6	1.10927	-1.77978
3.98	1.77005	1.66945	39.7	1.8215	1.71489
3.99	1.63728	1.67737	39.8	1.36803	-3.1474
4	1.65059	1.67325	39.9	4.22798	0.311361
4.01	1.59689	1.62572	40	-1.7431	3.70549
4.02	1.53886	1.52932	40.1	-2.68107	0.859746
4.03	1.31996	1.41044	40.2	0.672291	1.89744
4.04	1.39281	1.31008	40.3	-1.38973	-1.33547
4.05	1.3368	1.25602	40.4	2.37181	0.817819
4.06	1.24489	1.24471	40.5	-2.38433	2.1176
4.07	1.1624	1.24629	40.6	-0.565935	-0.363286
4.08	1.19842	1.22829	40.7	5.46	-0.653214
4.09	1.16018	1.18021	40.8	-3.43267	2.66222
4.1	1.14898	1.12027	40.9	2.0432	-6.28772
4.11	1.20959	1.07962	41	-0.488392	7.04784
4.12	1.02519	1.07644	41.1	-1.40205	1.3248
4.13	1.08624	1.10002	41.2	0.516839	0.318432
4.14	0.92976	1.11727	41.3	-0.0776978	0.576757
4.15	1.27847	1.09704	41.4	-2.82011	-1.48715
4.16	1.08288	1.03418	41.5	-1.24376	1.15697
4.17	0.870712	0.955378	41.6	2.37113	0.196739
4.18	0.874933	0.902002	41.7	-1.87147	-3.83661
4.19	0.976196	0.902312	41.8	-2.38427	8.15003
4.2	0.893033	0.952575	41.9	0.135069	-0.914683
4.21	1.07365	1.01997	42	-1.43531	-0.783447
4.22	1.04138	1.06435	42.1	-7.85481	-2.85146
4.23	0.987144	1.06319	42.2	2.01247	-0.581352
4.24	1.14424	1.02299	42.3	-0.245995	2.96347
4.25	0.904243	0.97104	42.4	-1.45261	0.0218787
4.26	0.92603	0.935643	42.5	2.37291	-0.472549
4.27	1.05234	0.929188	42.6	-6.7195	-1.77506
4.28	0.772028	0.944702	42.7	2.83144	0.665
4.29	1.05968	0.965377	42.8	-0.816531	2.75898
4.3	0.90572	0.977861	42.9	-4.17919	-1.23958
4.31	1.0277	0.979438	43	-1.67769	1.74198
4.32	1.06772	0.975883	43.1	-1.81103	0.304008
4.33	0.860357	0.974354	43.2	2.65693	-3.16589
4.34	0.978246	0.978289	43.3	-0.684729	-1.10182
4.35	0.993282	0.987598	43.4	-0.118943	-1.82944
4.36	1.08193	1.00179	43.5	0.942226	-3.6375
4.37	0.93495	1.02137	43.6	-0.260505	3.91632
4.38	1.02086	1.04546	43.7	0.591033	-1.42804
4.39	1.12778	1.06843	43.8	2.41965	-0.957667
4.4	1.13464	1.0803	43.9	5.60606	-2.36004
4.41	1.05638	1.07228	44	-3.01418	-0.269756
4.42	0.920126	1.04413	44.1	-1.64853	-1.62215
4.43	1.02374	1.0066	44.2	3.42071	0.298598
4.44	1.10147	0.975946	44.3	-0.0438902	-1.2104
4.45	0.86802	0.96348	44.4	1.04771	-1.31344
4.46	1.06879	0.968018	44.5	0.578515	-0.417884
4.47	0.853867	0.977462	44.6	4.9595	3.43352
4.48	1.07672	0.978734	44.7	2.04783	-1.03631
4.49	0.892107	0.968469	44.8	-3.60673	2.17805
4.5	0.959665	0.955833	44.9	1.84916	-1.68861
4.51	0.976881	0.954914	45	3.87715	1.04175
4.52	0.974441	0.972556	45.1	-3.26498	1.93842
4.53	1.0461	1.00153	45.2	4.95943	-1.4628
4.54	1.07675	1.0249	45.3	-2.54101	1.49806
4.55	0.843928	1.02862	45.4	0.0440489	-0.397077
4.56	1.0316	1.01243	45.5	-0.598391	-2.64079
4.57	1.07943	0.990265	45.6	-0.980079	-1.43517
4.58	0.98394	0.979591	45.7	-0.140961	-2.79638
4.59	1.06274	0.987917	45.8	-0.7468	1.34606
4.6	0.889441	1.00735	45.9	-2.90177	-1.06202
4.61	0.96166	1.02169	46	2.44785	4.66466
4.62	1.11394	1.02049	46.1	-1.7437	4.92223
4.63	1.01548	1.00881	46.2	2.21041	-3.77756
4.64	1.00767	1.00426	46.3	1.36222	-1.79071
4.65	0.981548	1.02326	46.4	0.327643	-1.00007
4.66	1.05739	1.06673	46.5	2.85599	-2.11628
4.67	1.18334	1.11671	46.6	-0.0380924	1.26867
4.68	1.1763	1.14706	46.7	-3.9837	1.92069
4.69	1.0519	1.14075	46.8	3.55364	0.764663
4.7	0.986213	1.10126	46.9	1.26116	2.74592
4.71	1.21502	1.04987	47	-1.66931	-2.06347
4.72	1.08693	1.01128	47.1	-0.679224	6.01626
4.73	0.889518	0.997964	47.2	-2.93433	0.732223
4.74	0.997704	1.00429	47.3	1.71791	-0.273963
4.75	1.05247	1.01341	47.4	-1.30527	1.31945
4.76	0.908905	1.01065	47.5	-3.26635	-2.57297
4.77	1.00112	0.993282	47.6	-3.70706	2.53537
4.78	1.08112	0.970478	47.7	-2.09496	-2.16823
4.79	1.05263	0.955223	47.8	-0.498845	-2.31495
4.8	0.810999	0.955507	47.9	2.56873	0.2379
4.81	0.872852	0.971087	48	1.96085	1.87352
4.82	1.01898	0.996433	48.1	1.38452	-1.34351
4.83	1.1889	1.0254	48.2	-3.60917	-3.0959
4.84	1.00154	1.05291	48.3	4.68385	-1.01843
