x	y	s=1	s=2	s=3
1.65	1.13321	1.06267	1.06493	1.06614
1.66	1.11869	1.05897	1.06161	1.06247
1.67	0.966205	0.995539	1.00731	1.01414
1.68	0.919612	0.961447	0.968252	0.973156
1.69	0.931844	0.969189	0.969563	0.965566
1.7	1.12021	1.01428	0.987729	0.972321
1.71	0.886467	0.953432	0.961517	0.963648
1.72	0.93921	0.959551	0.962174	0.967158
1.73	0.995502	0.986011	0.985899	0.988065
1.74	1.01347	1.00298	1.00593	1.00658
1.75	1.06007	1.00946	1.00509	1.00324
1.76	0.928729	0.965325	0.97378	0.976862
1.77	0.94424	0.957787	0.95734	0.955497
1.78	0.980534	0.963795	0.956079	0.950655
1.79	0.933603	0.953065	0.957201	0.959613
1.8	0.931845	0.961797	0.972364	0.978986
1.81	1.0869	1.00048	0.989629	0.988427
1.82	0.929249	0.952746	0.956537	0.960334
1.83	0.928941	0.928509	0.917901	0.91669
1.84	0.86083	0.90384	0.891246	0.887444
1.85	0.91047	0.922181	0.905134	0.899965
1.86	0.855713	0.952233	0.957715	0.95625
1.87	1.20285	1.07881	1.05247	1.03675
1.88	1.06491	1.08133	1.09089	1.09368
1.89	1.04608	1.10028	1.12482	1.14489
1.9	1.1906	1.17344	1.18015	1.20159
1.91	1.33169	1.22944	1.20402	1.22489
1.92	1.11448	1.18318	1.15401	1.18118
1.93	1.15376	1.20562	1.11537	1.10837
1.94	1.18342	1.27993	1.13385	1.0755
1.95	1.27569	1.45074	1.29354	1.20889
1.96	1.42228	1.79662	1.72815	1.67306
1.97	2.32414	2.51682	2.55351	2.54357
1.98	3.597	3.42971	3.57957	3.61322
1.99	4.79258	4.1753	4.38693	4.44891
2	4.85382	4.30361	4.5736	4.66797
2.01	4.06378	3.8817	4.14326	4.23077
2.02	3.47502	3.27772	3.3798	3.38956
2.03	2.31484	2.47644	2.48762	2.45154
2.04	1.56326	1.83676	1.76637	1.70889
2.05	1.31945	1.47058	1.34289	1.28332
2.06	1.1349	1.25552	1.14091	1.10731
2.07	1.17999	1.16109	1.06073	1.05107
2.08	0.995468	1.04775	0.996647	1.01321
2.09	0.922415	0.986695	0.962217	0.984021
2.1	0.980262	0.989921	0.969815	0.979627
2.11	1.00803	1.00281	0.992015	0.994049
2.12	0.992047	1.01047	1.01184	1.01278
2.13	1.08616	1.03655	1.02833	1.02576
2.14	0.986944	1.01301	1.02072	1.02637
2.15	0.974171	1.01554	1.0261	1.03114
2.16	1.11907	1.05944	1.04774	1.03908
2.17	1.06607	1.04372	1.03704	1.03044
2.18	0.949801	1.00564	1.01668	1.0224
2.19	0.965768	1.02339	1.03838	1.04482
2.2	1.20945	1.09877	1.08701	1.08035
2.21	1.06531	1.06346	1.07479	1.07708
2.22	1.00768	1.02631	1.0364	1.04033
2.23	1.06334	1.00779	0.99704	0.995271
2.24	0.801837	0.933731	0.953195	0.961379
2.25	1.09246	0.991561	0.967645	0.95948
2.26	0.891674	0.948491	0.951813	0.95076
2.27	1.03135	0.962239	0.941938	0.935307
2.28	0.815058	0.906876	0.914119	0.917674
2.29	0.95462	0.943331	0.933866	0.931527
2.3	0.973027	0.968497	0.967631	0.968246
2.31	0.963363	0.989133	1.00262	1.00815
2.32	1.1131	1.03554	1.03143	1.02863
2.33	1.02147	1.00438	1.0074	1.00747
2.34	0.910956	0.956135	0.965559	0.971014
2.35	0.933717	0.953068	0.954989	0.957815
2.36	0.952165	0.969353	0.970175	0.968286
2.37	1.09462	1.00282	0.984329	0.974425
2.38	0.881027	0.944501	0.952652	0.95363
2.39	0.973447	0.94965	0.940639	0.938632
2.4	0.860429	0.931004	0.942158	0.947235
2.41	1.00267	0.982932	0.983884	0.98466
2.42	1.08951	1.01512	1.01077	1.01108
2.43	0.947254	0.972922	0.98654	0.995932
2.44	0.958202	0.956392	0.953679	0.954283
2.45	0.976902	0.938052	0.915372	0.904678
2.46	0.774499	0.880861	0.879333	0.875732
2.47	0.930456	0.930032	0.914804	0.908775
2.48	0.924868	0.978779	0.986192	0.988276
2.49	1.19176	1.08144	1.07356	1.0735
2.5	1.04592	1.07377	1.09563	1.10851
2.51	1.17449	1.09396	1.08936	1.09548
2.52	0.956795	1.03363	1.04196	1.04994
2.53	1.06013	1.05013	1.02579	1.01837
2.54	1.01689	1.05663	1.02804	1.017
2.55	1.07748	1.10288	1.07021	1.0636
2.56	1.06358	1.17452	1.16269	1.16763
2.57	1.41138	1.35711	1.32313	1.32038
2.58	1.4639	1.48542	1.47006	1.47131
2.59	1.68694	1.63525	1.61025	1.60843
2.6	1.57912	1.7334	1.74435	1.74769
2.61	2.12033	1.98583	1.94967	1.92968
2.62	1.94456	2.10376	2.13828	2.13802
2.63	2.50091	2.3809	2.39296	2.3861
2.64	2.52458	2.53802	2.60271	2.61332
2.65	2.86634	2.70857	2.76452	2.77473
2.66	2.80401	2.72136	2.79725	2.8159
2.67	2.69657	2.6515	2.72156	2.73647
2.68	2.66611	2.53656	2.56487	2.56214
2.69	2.21156	2.29207	2.32962	2.32853
2.7	2.17512	2.1281	2.11946	2.10498
2.71	1.84375	1.91712	1.92001	1.91429
2.72	1.76528	1.7795	1.77254	1.76956
2.73	1.69454	1.6561	1.64204	1.64073
2.74	1.50413	1.49426	1.48625	1.49178
2.75	1.28578	1.32254	1.31543	1.32219
2.76	1.20618	1.18758	1.1577	1.15455
2.77	0.967535	1.03403	1.01154	1.00984
2.78	0.867837	0.946982	0.923913	0.919165
2.79	0.968169	0.939076	0.897754	0.883765
2.8	0.88875	0.902078	0.87994	0.877436
2.81	0.771247	0.878407	0.887756	0.900208
2.82	1.03678	0.961895	0.947298	0.947654
2.83	1.00693	0.970499	0.968155	0.968871
2.84	0.926808	0.942671	0.949396	0.953424
2.85	0.927053	0.930707	0.928867	0.929172
2.86	0.89752	0.922398	0.921823	0.922026
2.87	0.905332	0.938965	0.941708	0.942327
2.88	1.05242	0.989167	0.977659	0.973339
2.89	0.948811	0.976114	0.982442	0.984255
2.9	1.01858	0.990365	0.983581	0.980189
2.91	0.960205	0.976402	0.974969	0.9731
2.92	0.939562	0.978634	0.985498	0.988143
2.93	1.00393	1.01994	1.02929	1.03164
2.94	1.15734	1.07725	1.07455	1.07196
2.95	1.07224	1.05448	1.0641	1.06894
2.96	1.00134	1.01396	1.02355	1.03104
2.97	0.964278	0.986054	0.986655	0.987166
2.98	0.996032	0.979925	0.964972	0.955102
2.99	0.934483	0.95769	0.947669	0.939715
3	0.935962	0.958661	0.954979	0.954017
3.01	0.925965	0.98233	0.993946	0.999307
3.02	1.17258	1.06236	1.0526	1.05054
3.03	1.00279	1.03218	1.05099	1.05974
3.04	1.09615	1.0314	1.02915	1.03281
3.05	0.886214	0.965854	0.978885	0.984215
3.06	1.02947	0.979953	0.959035	0.948659
3.07	0.908041	0.944536	0.93575	0.92946
3.08	0.884267	0.945613	0.945621	0.944865
3.09	1.04402	1.00804	0.99753	0.993596
3.1	1.03781	1.03447	1.039	1.0418
3.11	1.08544	1.05758	1.06405	1.07058
3.12	1.0428	1.05281	1.06551	1.07315
3.13	1.08223	1.05806	1.05759	1.05593
3.14	1.05585	1.03914	1.03178	1.02479
3.15	0.957311	1.00351	1.00423	1.00165
3.16	0.986276	1.01407	1.01515	1.01477
3.17	1.04234	1.05242	1.05784	1.05802
3.18	1.17783	1.10085	1.09671	1.09441
3.19	1.09856	1.07229	1.08067	1.08824
3.2	0.941947	1.01748	1.03977	1.05278
3.21	1.1081	1.03819	1.02193	1.01466
3.22	0.98405	0.988985	0.977264	0.967866
3.23	0.875393	0.944718	0.942044	0.938569
3.24	0.97388	0.969776	0.959335	0.956574
3.25	0.913879	0.990729	1.00555	1.01053
3.26	1.24193	1.08853	1.07164	1.06633
3.27	0.983219	1.03294	1.0569	1.06824
3.28	1.06245	1.02707	1.03091	1.03659
3.29	0.957346	0.985811	0.989561	0.989992
3.3	0.993384	0.973019	0.960296	0.952474
3.31	0.882254	0.939864	0.93834	0.934802
3.32	0.987667	0.964317	0.952004	0.948444
3.33	0.921204	0.965421	0.973515	0.978614
3.34	1.02786	1.01074	1.01076	1.00987
3.35	1.16197	1.03894	1.01933	1.0125
3.36	0.803461	0.944122	0.971881	0.98627
3.37	1.01797	0.989959	0.983751	0.986275
3.38	1.02632	1.00779	1.00184	0.999214
3.39	0.980183	1.00708	1.00726	1.00254
3.4	1.13593	1.03327	1.00563	0.991891
3.41	0.811973	0.956788	0.975461	0.981418
3.42	1.0226	1.02513	1.02558	1.02647
3.43	1.1372	1.09599	1.10131	1.10224
3.44	1.15042	1.12565	1.14502	1.15187
3.45	1.22729	1.13053	1.13495	1.13836
3.46	0.997133	1.03864	1.05474	1.06166
3.47	0.989885	0.988264	0.980367	0.977056
3.48	0.871188	0.936266	0.930217	0.924716
3.49	0.953932	0.949346	0.932184	0.923757
3.5	0.922896	0.95784	0.955137	0.953462
3.51	1.05951	1.00128	0.989692	0.98804
3.52	0.963939	0.986483	0.994222	1.0012
3.53	0.996631	0.994233	0.99692	1.00132
3.54	1.01925	0.999585	0.995697	0.99508
3.55	0.959299	0.985271	0.988172	0.988446
3.56	0.981723	0.99693	0.99552	0.992277
3.57	1.08381	1.0238	1.01004	1.00379
3.58	0.887454	0.990646	1.01024	1.01718
3.59	1.14811	1.06069	1.04838	1.04476
3.6	1.01954	1.04331	1.05397	1.05812
3.61	1.05157	1.04971	1.05621	1.059
3.62	1.08618	1.05424	1.0499	1.0468
3.63	1.02645	1.02683	1.02518	1.02474
3.64	0.942503	0.999798	1.00848	1.0133
3.65	1.02511	1.03006	1.0275	1.02446
3.66	1.17107	1.06528	1.04398	1.03408
3.67	0.876674	0.994698	1.01724	1.02518
3.68	1.08864	1.04214	1.03371	1.03048
3.69	1.07146	1.0431	1.03925	1.03804
3.7	0.942592	1.01568	1.03466	1.0453
3.71	1.13108	1.06136	1.05294	1.05507
3.72	1.0386	1.03731	1.035	1.03804
3.73	1.00368	1.01198	0.999927	0.997967
3.74	0.975597	0.994952	0.97037	0.960947
3.75	0.955306	0.997278	0.97275	0.964025
3.76	0.924463	1.04158	1.03871	1.03816
3.77	1.27256	1.20299	1.18245	1.1765
3.78	1.30692	1.29483	1.30392	1.31142
3.79	1.38329	1.37457	1.39318	1.40518
3.8	1.53491	1.4456	1.44329	1.44463
3.81	1.38604	1.42731	1.43742	1.4403
3.82	1.4084	1.45029	1.45037	1.44748
3.83	1.51408	1.51516	1.50555	1.49697
3.84	1.54513	1.5811	1.58439	1.58004
3.85	1.74826	1.68302	1.67689	1.6726
3.86	1.72906	1.71969	1.73374	1.74211
3.87	1.68524	1.74699	1.77705	1.7895
3.88	1.97233	1.83603	1.82422	1.8154
3.89	1.76518	1.78879	1.80084	1.79943
3.9	1.70283	1.76514	1.7806	1.78368
3.91	1.83724	1.80381	1.80155	1.79942
3.92	1.78047	1.80906	1.82395	1.82786
3.93	1.90962	1.84289	1.84375	1.84192
3.94	1.82496	1.81	1.81342	1.81009
3.95	1.82599	1.76213	1.75131	1.74774
3.96	1.4429	1.65042	1.68731	1.70065
3.97	1.86108	1.74622	1.726	1.71374
3.98	1.77005	1.72716	1.72753	1.72153
3.99	1.63728	1.6652	1.68713	1.6963
4	1.65059	1.63117	1.64257	1.64898
4.01	1.59689	1.57771	1.58175	1.5815
4.02	1.53886	1.50508	1.50059	1.49814
4.03	1.31996	1.39866	1.41016	1.41525
4.04	1.39281	1.37095	1.35978	1.35567
4.05	1.3368	1.32138	1.3086	1.30234
4.06	1.24489	1.2564	1.24878	1.24723
4.07	1.1624	1.20291	1.2007	1.20311
4.08	1.19842	1.18995	1.18084	1.18096
4.09	1.16018	1.16851	1.16738	1.16957
4.1	1.14898	1.1554	1.15609	1.15597
4.11	1.20959	1.1487	1.13554	1.12832
4.12	1.02519	1.08112	1.08717	1.08827
4.13	1.08624	1.06946	1.06648	1.07026
4.14	0.92976	1.04102	1.067	1.07952
4.15	1.27847	1.12384	1.10198	1.09322
4.16	1.08288	1.05204	1.04748	1.04559
4.17	0.870712	0.949399	0.956015	0.962807
4.18	0.874933	0.925444	0.915509	0.912657
4.19	0.976196	0.952	0.928585	0.916881
4.2	0.893033	0.954359	0.957286	0.955636
4.21	1.07365	1.01805	1.01127	1.00966
4.22	1.04138	1.02613	1.03594	1.04316
4.23	0.987144	1.01895	1.03907	1.04923
4.24	1.14424	1.04359	1.0339	1.03137
4.25	0.904243	0.967577	0.981726	0.98674
4.26	0.92603	0.954898	0.954172	0.95149
4.27	1.05234	0.971086	0.945393	0.933225
4.28	0.772028	0.906021	0.921396	0.925974
4.29	1.05968	0.97495	0.955137	0.950615
4.3	0.90572	0.959149	0.970204	0.976181
4.31	1.0277	0.996776	0.994727	0.995114
4.32	1.06772	1.00348	0.992352	0.989457
4.33	0.860357	0.94594	0.9597	0.967505
4.34	0.978246	0.973983	0.968758	0.96787
4.35	0.993282	0.997764	0.992169	0.985281
4.36	1.08193	1.02603	1.01207	1.00353
4.37	0.93495	0.998388	1.0117	1.01807
4.38	1.02086	1.03419	1.04417	1.05053
4.39	1.12778	1.08331	1.08584	1.08496
4.4	1.13464	1.08796	1.08977	1.08709
4.41	1.05638	1.04594	1.05095	1.05329
4.42	0.920126	0.993488	1.00926	1.01674
4.43	1.02374	1.01439	1.00999	1.00602
4.44	1.10147	1.02595	1.00933	1.00065
4.45	0.86802	0.961995	0.977195	0.98314
4.46	1.06879	0.992013	0.975647	0.973474
4.47	0.853867	0.945252	0.957573	0.962631
4.48	1.07672	0.989878	0.969006	0.961311
4.49	0.892107	0.947661	0.952268	0.953312
4.5	0.959665	0.960997	0.957399	0.957678
4.51	0.976881	0.975665	0.974275	0.975435
4.52	0.974441	0.989118	0.995039	0.997538
4.53	1.0461	1.01725	1.01444	1.01083
4.54	1.07675	1.01652	1.00663	1.00253
4.55	0.843928	0.955569	0.977414	0.987895
4.56	1.0316	1.00626	1.00273	1.00248
4.57	1.07943	1.0316	1.02501	1.0203
4.58	0.98394	1.00911	1.01558	1.01593
4.59	1.06274	1.0118	1.00018	0.997409
4.6	0.889441	0.963556	0.972907	0.980138
4.61	0.96166	0.989424	0.990401	0.992648
4.62	1.11394	1.04306	1.02585	1.01711
4.63	1.01548	1.02581	1.0237	1.02053
4.64	1.00767	1.01888	1.01647	1.01688
4.65	0.981548	1.02316	1.02849	1.0325
4.66	1.05739	1.06906	1.07528	1.07644
4.67	1.18334	1.12662	1.12539	1.12011
4.68	1.1763	1.12746	1.12951	1.12779
4.69	1.0519	1.07945	1.09628	1.10626
4.7	0.986213	1.05899	1.08111	1.09119
4.71	1.21502	1.11132	1.09506	1.08497
4.72	1.08693	1.05994	1.05426	1.04894
4.73	0.889518	0.981566	0.994824	1.00061
4.74	0.997704	0.995242	0.98554	0.980765
4.75	1.05247	1.00646	0.989881	0.98268
4.76	0.908905	0.971656	0.983489	0.992338
4.77	1.00112	0.999608	1.00459	1.01175
4.78	1.08112	1.02605	1.01684	1.01251
4.79	1.05263	0.997414	0.980397	0.972692
4.8	0.810999	0.913564	0.919729	0.924507
4.81	0.872852	0.93228	0.931523	0.933246
4.82	1.01898	1.01042	1.00374	0.996335
4.83	1.1889	1.08001	1.06567	1.05588
4.84	1.00154	1.0407	1.06184	1.07163
4.85	1.01115	1.04056	1.06001	1.07124
4.86	1.13645	1.06984	1.06765	1.06759
4.87	1.01169	1.0325	1.04337	1.04616
4.88	1.02488	1.01598	1.01457	1.01243
4.89	1.01117	0.990553	0.976966	0.970547
4.9	0.914175	0.94451	0.93661	0.936354
4.91	0.835807	0.928801	0.93374	0.938009
4.92	1.05852	1.00609	0.986167	0.975979
4.93	1.09717	1.03094	1.01376	1.00521
4.94	0.901269	0.989562	1.00876	1.01949
4.95	1.01586	1.03648	1.04679	1.05329
4.96	1.20188	1.10401	1.096	1.09165
4.97	1.02814	1.07367	1.09359	1.09822
4.98	1.16592	1.08886	1.08265	1.0808
4.99	0.962429	1.02699	1.04084	1.04663
5	1.01817	1.02967	1.02906	1.02777
5.01	1.09087	1.04385	1.02981	1.02132
5.02	0.964296	1.01101	1.0147	1.01385
5.03	1.06167	1.02489	1.01641	1.0155
5.04	0.927117	1.00198	1.01722	1.02445
5.05	1.12969	1.05394	1.04467	1.04096
5.06	1.01923	1.03014	1.03618	1.03527
5.07	1.04811	1.01725	1.01423	1.0128
5.08	0.928082	0.973503	0.984305	0.990593
5.09	0.929685	0.975176	0.985793	0.989909
5.1	1.14658	1.02234	1.00185	0.99338
5.11	0.872447	0.945265	0.95954	0.964752
5.12	0.972439	0.941008	0.930629	0.928833
5.13	0.871825	0.905321	0.899806	0.898232
5.14	0.892467	0.903129	0.893567	0.892419
5.15	0.881602	0.911598	0.910425	0.913161
5.16	0.940428	0.950064	0.947794	0.946383
5.17	1.10496	0.998167	0.974268	0.963965
5.18	0.857053	0.939476	0.95107	0.957109
5.19	0.920344	0.96321	0.970119	0.975658
5.2	1.04175	1.02981	1.02932	1.02642
5.21	1.18088	1.08446	1.07679	1.07153
5.22	0.945987	1.04271	1.07309	1.08218
5.23	1.22602	1.09767	1.08288	1.07695
5.24	0.942074	1.02427	1.0437	1.05081
5.25	1.04286	1.03307	1.03623	1.04038
5.26	0.995214	1.03208	1.03955	1.04
5.27	1.21401	1.06797	1.03934	1.02668
5.28	0.81797	0.95781	0.976968	0.982436
5.29	1.03359	0.987491	0.968471	0.961498
5.3	0.934255	0.971072	0.970882	0.970167
5.31	0.930851	0.991472	1.00636	1.01113
5.32	1.20149	1.07249	1.06042	1.05568
5.33	1.00744	1.02451	1.0431	1.05187
5.34	0.982152	0.993606	1.00549	1.01293
5.35	1.0223	0.974154	0.963015	0.959862
5.36	0.841545	0.906555	0.907761	0.908467
5.37	0.893456	0.903965	0.891102	0.88717
5.38	0.894888	0.911885	0.898195	0.892384
5.39	0.973421	0.936801	0.916552	0.910806
5.4	0.851523	0.925098	0.930378	0.935426
5.41	0.99818	0.986969	0.980744	0.979031
5.42	1.08507	1.03763	1.02987	1.02509
5.43	0.993537	1.04085	1.05741	1.06257
5.44	1.12707	1.09138	1.09821	1.10153
5.45	1.10466	1.10623	1.12328	1.12885
5.46	1.15059	1.12265	1.13244	1.13289
5.47	1.18127	1.11113	1.10694	1.10267
5.48	0.947613	1.02948	1.04615	1.05124
5.49	1.03959	1.02968	1.02377	1.0213
5.5	1.02162	1.01998	1.01496	1.01232
5.51	0.986572	1.00864	1.01073	1.01118
5.52	1.06124	1.01936	1.00872	1.00458
5.53	0.998548	0.988203	0.98243	0.98213
5.54	0.856942	0.946702	0.957855	0.964082
5.55	1.0616	0.994961	0.97712	0.972352
5.56	0.941418	0.97658	0.981438	0.985162
5.57	0.978837	0.993361	0.996498	0.9988
5.58	1.09628	1.02467	1.00797	1.00015
5.59	0.952645	0.984358	0.983863	0.982931
5.6	0.914894	0.975763	0.980499	0.983969
5.61	1.05298	1.02804	1.02298	1.02325
5.62	1.00382	1.05537	1.0708	1.07431
5.63	1.29022	1.13424	1.11345	1.1037
5.64	1.00401	1.05713	1.07347	1.08069
5.65	0.952322	1.03315	1.05015	1.05751
5.66	1.17101	1.08999	1.07331	1.06298
5.67	1.02473	1.06582	1.07496	1.07293
5.68	1.11941	1.08273	1.08479	1.08569
5.69	1.01332	1.06296	1.08229	1.0897
5.7	1.20186	1.09282	1.08154	1.07917
5.71	0.96285	1.01365	1.02766	1.03611
5.72	0.966885	0.985291	0.986077	0.988729
5.73	1.00055	0.975332	0.957421	0.947083
5.74	0.932929	0.940155	0.923123	0.912064
5.75	0.851784	0.912204	0.907743	0.906184
5.76	0.920732	0.944674	0.945648	0.950908
5.77	0.975745	1.00109	1.01525	1.02311
5.78	1.23488	1.08284	1.07003	1.06597
5.79	1.00859	1.01254	1.02399	1.02996
5.8	0.880228	0.946206	0.955968	0.961297
5.81	0.959844	0.945845	0.929391	0.921449
5.82	0.860354	0.931486	0.931957	0.927965
5.83	0.996274	0.988259	0.981812	0.976431
